   1.0000 3.4508e+08 5.5512e+07 8.9834e+08 7.9448e+07 8.8492e+08 2.7332e+08 4.2593e+08 2.5486e+08 4.3530e+08
   1.2500 3.6327e+08 4.7239e+07 9.0258e+08 6.9209e+07 8.8533e+08 2.8019e+08 4.7195e+08 2.8264e+08 4.4390e+08
   1.5000 3.4951e+08 4.3156e+07 8.3069e+08 6.2058e+07 8.1240e+08 2.6761e+08 4.6243e+08 2.8232e+08 4.1671e+08
   1.7500 3.1584e+08 4.4487e+07 7.1942e+08 6.0102e+07 7.0244e+08 2.4266e+08 4.1854e+08 2.6223e+08 3.6946e+08
   2.0000 2.7394e+08 5.1736e+07 5.9964e+08 6.4589e+07 5.8503e+08 2.1227e+08 3.6086e+08 2.3219e+08 3.1569e+08
   2.2500 2.3160e+08 5.8298e+07 4.8871e+08 6.8886e+07 4.7668e+08 1.8136e+08 3.0234e+08 1.9944e+08 2.6375e+08
   2.5000 1.9288e+08 5.9603e+07 3.9361e+08 6.8226e+07 3.8393e+08 1.5270e+08 2.4928e+08 1.6818e+08 2.1757e+08
   2.7500 1.5934e+08 5.6658e+07 3.1540e+08 6.3593e+07 3.0770e+08 1.2749e+08 2.0387e+08 1.4032e+08 1.7835e+08
   3.0000 1.3114e+08 5.2063e+07 2.5249e+08 5.7637e+07 2.4638e+08 1.0597e+08 1.6620e+08 1.1642e+08 1.4586e+08
   3.2500 1.0782e+08 4.6860e+07 2.0241e+08 5.1356e+07 1.9756e+08 8.7917e+07 1.3543e+08 9.6348e+07 1.1930e+08
   3.5000 8.8704e+07 4.1550e+07 1.6269e+08 4.5189e+07 1.5883e+08 7.2932e+07 1.1050e+08 7.9694e+07 9.7713e+07
   3.7500 7.3104e+07 3.6503e+07 1.3124e+08 3.9463e+07 1.2816e+08 6.0572e+07 9.0371e+07 6.5973e+07 8.0235e+07
   4.0000 6.0412e+07 3.1891e+07 1.0633e+08 3.4306e+07 1.0386e+08 5.0430e+07 7.4125e+07 5.4726e+07 6.6098e+07
