pt,central,min,max,min_sc,max_sc,min_mass,max_mass,min_pdf,max_pdf,fr55,fr22,fr21,fr12,fr15,fr51
0.0000, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
0.2500, 6.0970e+08, 1.8682e+08, 2.0938e+09, 3.0638e+08, 2.0745e+09, 4.3647e+08, 6.2102e+08, 3.7133e+08, 8.4806e+08
0.5000, 1.1022e+09, 3.2629e+08, 3.3777e+09, 4.3554e+08, 3.3464e+09, 9.7359e+08, 1.1022e+09, 7.2666e+08, 1.4778e+09
0.7500, 1.5554e+09, 2.9339e+08, 4.3653e+09, 3.9705e+08, 4.3270e+09, 1.3384e+09, 1.6544e+09, 1.1039e+09, 2.0068e+09
1.0000, 1.9018e+09, 2.3683e+08, 5.0249e+09, 3.4601e+08, 4.9664e+09, 1.5420e+09, 2.2749e+09, 1.4304e+09, 2.3731e+09
1.2500, 2.0655e+09, 1.9903e+08, 5.1936e+09, 3.0735e+08, 5.1121e+09, 1.6230e+09, 2.6192e+09, 1.6218e+09, 2.5092e+09
1.5000, 2.0461e+09, 1.8589e+08, 4.9128e+09, 2.8477e+08, 4.8203e+09, 1.5903e+09, 2.6555e+09, 1.6584e+09, 2.4338e+09
1.7500, 1.8990e+09, 2.0303e+08, 4.3649e+09, 2.8839e+08, 4.2743e+09, 1.4769e+09, 2.4773e+09, 1.5764e+09, 2.2216e+09
2.0000, 1.6875e+09, 2.5345e+08, 3.7244e+09, 3.2583e+08, 3.6431e+09, 1.3209e+09, 2.1941e+09, 1.4267e+09, 1.9482e+09
2.2500, 1.4584e+09, 3.0230e+08, 3.1012e+09, 3.6315e+08, 3.0318e+09, 1.1519e+09, 1.8829e+09, 1.2509e+09, 1.6658e+09
2.5000, 1.2392e+09, 3.2239e+08, 2.5470e+09, 3.7278e+08, 2.4894e+09, 9.8823e+08, 1.5862e+09, 1.0752e+09, 1.4031e+09
2.7500, 1.0426e+09, 3.1698e+08, 2.0778e+09, 3.5812e+08, 2.0307e+09, 8.3946e+08, 1.3228e+09, 9.1309e+08, 1.1720e+09
3.0000, 8.7260e+08, 2.9981e+08, 1.6909e+09, 3.3333e+08, 1.6526e+09, 7.0898e+08, 1.0977e+09, 7.7012e+08, 9.7509e+08
3.2500, 7.2857e+08, 2.7680e+08, 1.3760e+09, 3.0416e+08, 1.3450e+09, 5.9692e+08, 9.0913e+08, 6.4711e+08, 8.1004e+08
3.5000, 6.0794e+08, 2.5104e+08, 1.1215e+09, 2.7341e+08, 1.0963e+09, 5.0197e+08, 7.5291e+08, 5.4286e+08, 6.7303e+08
3.7500, 5.0760e+08, 2.2506e+08, 9.1641e+08, 2.4341e+08, 8.9592e+08, 4.2218e+08, 6.2421e+08, 4.5529e+08, 5.5991e+08
4.0000, 4.2461e+08, 2.0034e+08, 7.5133e+08, 2.1544e+08, 7.3467e+08, 3.5566e+08, 5.1852e+08, 3.8233e+08, 4.6690e+08
4.2500, 3.5612e+08, 1.7741e+08, 6.1841e+08, 1.8986e+08, 6.0486e+08, 3.0036e+08, 4.3186e+08, 3.2172e+08, 3.9052e+08
4.5000, 2.9960e+08, 1.5647e+08, 5.1126e+08, 1.6675e+08, 5.0025e+08, 2.5439e+08, 3.6083e+08, 2.7143e+08, 3.2778e+08
