pt,central,min,max,min_sc,max_sc,min_mass,max_mass,min_pdf,max_pdf,fr55,fr22,fr21,fr12,fr15,fr51
0.0000, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00
0.2500, 4.8061e+08, 2.2797e+08, 1.6558e+09, 2.4292e+08, 1.6558e+09, 3.9499e+08, 4.8061e+08, 1.6558e+09, 9.5898e+08, 1.3796e+09, 2.4292e+08, 1.6201e+09, 3.5994e+08
0.5000, 8.2487e+08, 4.2112e+08, 2.4739e+09, 4.3480e+08, 2.4739e+09, 7.2068e+08, 8.2487e+08, 1.8928e+09, 1.4634e+09, 2.0494e+09, 4.3480e+08, 2.4739e+09, 4.4500e+08
0.7500, 1.0967e+09, 3.8160e+08, 3.0169e+09, 4.1084e+08, 3.0101e+09, 8.9432e+08, 1.2582e+09, 1.5865e+09, 1.7171e+09, 2.4741e+09, 5.9499e+08, 3.0101e+09, 4.1084e+08
1.0000, 1.2635e+09, 3.0854e+08, 3.2848e+09, 3.5095e+08, 3.2567e+09, 9.8211e+08, 1.5992e+09, 1.2223e+09, 1.7681e+09, 2.6585e+09, 6.9876e+08, 3.2567e+09, 3.5095e+08
1.2500, 1.2981e+09, 2.4886e+08, 3.2210e+09, 2.9626e+08, 3.1743e+09, 9.8631e+08, 1.7191e+09, 9.3129e+08, 1.6532e+09, 2.5614e+09, 7.2995e+08, 3.1743e+09, 2.9626e+08
1.5000, 1.2225e+09, 2.1024e+08, 2.9021e+09, 2.5508e+08, 2.8488e+09, 9.2457e+08, 1.6424e+09, 7.2734e+08, 1.4396e+09, 2.2634e+09, 6.9920e+08, 2.8488e+09, 2.5508e+08
1.7500, 1.0841e+09, 1.9664e+08, 2.4667e+09, 2.3553e+08, 2.4160e+09, 8.2424e+08, 1.4550e+09, 6.1433e+08, 1.1966e+09, 1.8886e+09, 6.3087e+08, 2.4160e+09, 2.3553e+08
2.0000, 9.2455e+08, 2.0834e+08, 2.0219e+09, 2.4124e+08, 1.9781e+09, 7.0995e+08, 1.2314e+09, 5.8495e+08, 9.6886e+08, 1.5248e+09, 5.4743e+08, 1.9781e+09, 2.4124e+08
2.2500, 7.6988e+08, 2.2010e+08, 1.6233e+09, 2.4764e+08, 1.5873e+09, 5.9805e+08, 1.0149e+09, 5.6623e+08, 7.7431e+08, 1.2105e+09, 4.6360e+08, 1.5873e+09, 2.4764e+08
2.5000, 6.3238e+08, 2.1586e+08, 1.2896e+09, 2.3847e+08, 1.2608e+09, 4.9702e+08, 8.2459e+08, 5.1959e+08, 6.1568e+08, 9.5417e+08, 3.8699e+08, 1.2608e+09, 2.3847e+08
2.7500, 5.1584e+08, 1.9927e+08, 1.0204e+09, 2.1750e+08, 9.9772e+08, 4.0998e+08, 6.6544e+08, 4.5555e+08, 4.8925e+08, 7.5086e+08, 3.2053e+08, 9.9772e+08, 2.1750e+08
3.0000, 4.1962e+08, 1.7888e+08, 8.0739e+08, 1.9352e+08, 7.8955e+08, 3.3696e+08, 5.3587e+08, 3.9156e+08, 3.8966e+08, 5.9195e+08, 2.6452e+08, 7.8955e+08, 1.9352e+08
3.2500, 3.4126e+08, 1.5788e+08, 6.4026e+08, 1.6965e+08, 6.2624e+08, 2.7663e+08, 4.3176e+08, 3.3290e+08, 3.1160e+08, 4.6854e+08, 2.1806e+08, 6.2624e+08, 1.6965e+08
3.5000, 2.7788e+08, 1.3765e+08, 5.0940e+08, 1.4713e+08, 4.9835e+08, 2.2720e+08, 3.4856e+08, 2.8092e+08, 2.5041e+08, 3.7276e+08, 1.7984e+08, 4.9835e+08, 1.4713e+08
3.7500, 2.2680e+08, 1.1916e+08, 4.0695e+08, 1.2681e+08, 3.9821e+08, 1.8693e+08, 2.8224e+08, 2.3628e+08, 2.0238e+08, 2.9830e+08, 1.4855e+08, 3.9821e+08, 1.2681e+08
4.0000, 1.8571e+08, 1.0271e+08, 3.2669e+08, 1.0891e+08, 3.1977e+08, 1.5424e+08, 2.2934e+08, 1.9843e+08, 1.6448e+08, 2.4017e+08, 1.2302e+08, 3.1977e+08, 1.0891e+08
4.2500, 1.5264e+08, 8.8318e+07, 2.6362e+08, 9.3347e+07, 2.5814e+08, 1.2771e+08, 1.8709e+08, 1.6660e+08, 1.3444e+08, 1.9454e+08, 1.0220e+08, 2.5814e+08, 9.3347e+07
4.5000, 1.2600e+08, 7.5836e+07, 2.1387e+08, 7.9921e+07, 2.0952e+08, 1.0618e+08, 1.5330e+08, 1.4002e+08, 1.1053e+08, 1.5854e+08, 8.5206e+07, 2.0952e+08, 7.9921e+07
4.7500, 1.0451e+08, 6.5144e+07, 1.7454e+08, 6.8478e+07, 1.7108e+08, 8.8655e+07, 1.2625e+08, 1.1792e+08, 9.1368e+07, 1.2998e+08, 7.1340e+07, 1.7108e+08, 6.8478e+07
5.0000, 8.7095e+07, 5.6026e+07, 1.4327e+08, 5.8761e+07, 1.4050e+08, 7.4350e+07, 1.0451e+08, 9.9566e+07, 7.5923e+07, 1.0716e+08, 5.9986e+07, 1.4050e+08, 5.8761e+07
5.2500, 7.2918e+07, 4.8250e+07, 1.1825e+08, 5.0503e+07, 1.1603e+08, 6.2619e+07, 8.6938e+07, 8.4290e+07, 6.3408e+07, 8.8832e+07, 5.0650e+07, 1.1603e+08, 5.0503e+07
5.5000, 6.1324e+07, 4.1127e+07, 9.8124e+07, 4.2940e+07, 9.6330e+07, 5.2960e+07, 7.2673e+07, 7.1557e+07, 5.3217e+07, 7.4022e+07, 4.2940e+07, 9.6330e+07, 4.3479e+07
5.7500, 5.1804e+07, 3.5091e+07, 8.1844e+07, 3.6550e+07, 8.0388e+07, 4.4975e+07, 6.1041e+07, 6.0933e+07, 4.4876e+07, 6.1995e+07, 3.6550e+07, 8.0388e+07, 3.7511e+07
6.0000, 4.3946e+07, 3.0049e+07, 6.8603e+07, 3.1228e+07, 6.7416e+07, 3.8343e+07, 5.1506e+07, 5.2042e+07, 3.8011e+07, 5.2172e+07, 3.1228e+07, 6.7416e+07, 3.2434e+07
6.2500, 3.7429e+07, 2.5822e+07, 5.7777e+07, 2.6780e+07, 5.6803e+07, 3.2812e+07, 4.3648e+07, 4.4578e+07, 3.2334e+07, 4.4106e+07, 2.6780e+07, 5.6803e+07, 2.8108e+07
6.5000, 3.2002e+07, 2.2264e+07, 4.8880e+07, 2.3046e+07, 4.8078e+07, 2.8179e+07, 3.7141e+07, 3.8292e+07, 2.7616e+07, 3.7451e+07, 2.3046e+07, 4.8078e+07, 2.4413e+07
