pt,central,min,max,min_sc,max_sc,min_mass,max_mass,min_pdf,max_pdf,fr55,fr22,fr21,fr12,fr15,fr51
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.250,74509897.243,22341908.207,249145148.704,30596000.000,197960000.000,45774000.000,59953000.000,33512000.000,86391000.000,182540000.000,129320000.000,178630000.000,30596000.000,197960000.000,40054000.000
0.500,143824271.500,48085866.500,430226996.500,48965000.000,313860000.000,95988000.000,106210000.000,65994000.000,146420000.000,207570000.000,200460000.000,271020000.000,56353000.000,313860000.000,48965000.000
0.750,209657531.161,46876462.744,577064924.986,45188000.000,396770000.000,122010000.000,161440000.000,99780000.000,191920000.000,174670000.000,240510000.000,338600000.000,79444000.000,396770000.000,45188000.000
1.000,260903421.103,41103372.168,679069689.199,39307000.000,443570000.000,137170000.000,213270000.000,127380000.000,218650000.000,137000000.000,253420000.000,375830000.000,95921000.000,443570000.000,39307000.000
1.250,284933050.791,36327128.168,707872003.739,34309000.000,444400000.000,140770000.000,236700000.000,141550000.000,223190000.000,107500000.000,241990000.000,371830000.000,102730000.000,444400000.000,34309000.000
1.500,278997337.300,33872916.320,663037561.200,30846000.000,408290000.000,134590000.000,232240000.000,141620000.000,209720000.000,87267000.000,214690000.000,335720000.000,100610000.000,408290000.000,30846000.000
1.750,248564405.011,34565327.682,566124945.601,29964000.000,353390000.000,122150000.000,210440000.000,131720000.000,186100000.000,77392000.000,181440000.000,285260000.000,92584000.000,353390000.000,29964000.000
2.000,206209247.194,38603507.131,451358334.108,32302000.000,294600000.000,106940000.000,181630000.000,116770000.000,159140000.000,77723000.000,149110000.000,233990000.000,81770000.000,294600000.000,32302000.000
2.250,163614362.124,40926018.819,345241443.176,34533000.000,240240000.000,91441000.000,152310000.000,100400000.000,133050000.000,78524000.000,120790000.000,188390000.000,70359000.000,240240000.000,34533000.000
2.500,126204586.920,38806733.160,257530993.200,34261000.000,193640000.000,77045000.000,125680000.000,84735000.000,109830000.000,74330000.000,97247000.000,150410000.000,59591000.000,193640000.000,34261000.000
2.750,95598736.712,33852264.084,189226512.514,31974000.000,155300000.000,64366000.000,102860000.000,70753000.000,90085000.000,66745000.000,78175000.000,119760000.000,50020000.000,155300000.000,31974000.000
