pt,central,min,max,min_sc,max_sc,min_mass,max_mass,min_pdf,max_pdf,fr55,fr22,fr21,fr12,fr15,fr51
17.500,33122.920,26529.593,41416.713,58500.000,87144.000,67841.000,75683.000,65211.000,76789.000,83094.000,62102.000,74609.000,58500.000,87144.000,66074.000
17.750,31120.708,24957.434,38838.069,54667.000,81162.000,63354.000,70592.000,60852.000,71675.000,77500.000,57969.000,69557.000,54667.000,81162.000,61760.000
18.000,29369.819,23582.029,36584.033,51126.000,75658.000,59209.000,65898.000,56830.000,66956.000,72340.000,54155.000,64903.000,51126.000,75658.000,57774.000
18.250,27817.840,22363.512,34589.111,47852.000,70588.000,55378.000,61566.000,53116.000,62596.000,67577.000,50632.000,60611.000,47852.000,70588.000,54087.000
18.500,26422.796,21267.997,32798.069,44822.000,65913.000,51833.000,57565.000,49682.000,58566.000,63176.000,47375.000,56649.000,44822.000,65913.000,50672.000
18.750,25145.338,20263.755,31160.846,42015.000,61598.000,48551.000,53865.000,46506.000,54836.000,59107.000,44360.000,52988.000,42015.000,61598.000,47508.000
19.000,23936.601,19312.038,29615.960,39413.000,57612.000,45510.000,50441.000,43565.000,51382.000,55341.000,41569.000,49603.000,39413.000,57612.000,44573.000
19.250,22753.157,18378.887,28108.916,36998.000,53926.000,42689.000,47270.000,40840.000,48181.000,51853.000,38981.000,46469.000,36998.000,53926.000,41849.000
19.500,21563.391,17436.802,26599.255,34754.000,50515.000,40071.000,44331.000,38312.000,45211.000,48619.000,36581.000,43565.000,34754.000,50515.000,39318.000
19.750,20351.892,16475.638,25069.005,32670.000,47355.000,37639.000,41605.000,35966.000,42454.000,45620.000,34352.000,40873.000,32670.000,47355.000,36964.000
20.000,19149.352,15519.084,23555.158,30730.000,44425.000,35379.000,39074.000,33788.000,39892.000,42835.000,32281.000,38374.000,30730.000,44425.000,34775.000
20.250,17987.799,14592.885,22096.803,28925.000,41706.000,33277.000,36722.000,31762.000,37510.000,40248.000,30356.000,36053.000,28925.000,41706.000,32735.000
20.500,16893.234,13718.948,20724.876,27243.000,39181.000,31320.000,34535.000,29879.000,35294.000,37843.000,28564.000,33896.000,27243.000,39181.000,30835.000
20.750,15886.029,12913.677,19463.208,25674.000,36834.000,29497.000,32500.000,28126.000,33231.000,35606.000,26896.000,31889.000,25674.000,36834.000,29063.000
21.000,14984.990,12192.805,18336.132,24211.000,34650.000,27798.000,30605.000,26492.000,31308.000,33523.000,25341.000,30020.000,24211.000,34650.000,27409.000
21.250,14205.559,11569.164,17359.742,22845.000,32617.000,26213.000,28840.000,24970.000,29515.000,31582.000,23891.000,28279.000,22845.000,32617.000,25864.000
21.500,13556.953,11050.900,16546.805,21568.000,30723.000,24734.000,27193.000,23551.000,27842.000,29773.000,22538.000,26655.000,21568.000,30723.000,24421.000
21.750,13029.049,10629.215,15882.847,20375.000,28957.000,23352.000,25656.000,22225.000,26279.000,28084.000,21274.000,25140.000,20375.000,28957.000,23071.000
22.000,12546.204,10244.258,15275.997,19258.000,27309.000,22060.000,24220.000,20986.000,24818.000,26506.000,20093.000,23725.000,19258.000,27309.000,21808.000
22.250,12033.089,9833.223,14635.003,18212.000,25771.000,20850.000,22878.000,19827.000,23452.000,25031.000,18988.000,22403.000,18212.000,25771.000,20625.000
22.500,11430.553,9348.614,13886.304,17233.000,24333.000,19718.000,21622.000,18742.000,22172.000,23651.000,17953.000,21166.000,17233.000,24333.000,19517.000
22.750,10715.830,8770.467,13003.416,16314.000,22989.000,18656.000,20446.000,17727.000,20974.000,22360.000,16984.000,20009.000,16314.000,22989.000,18478.000
23.000,9956.513,8155.826,12069.818,15453.000,21731.000,17662.000,19345.000,16775.000,19852.000,21150.000,16076.000,18926.000,15453.000,21731.000,17503.000
23.250,9230.696,7566.712,11178.399,14644.000,20553.000,16728.000,18313.000,15883.000,18798.000,20016.000,15224.000,17911.000,14644.000,20553.000,16588.000
23.500,8598.251,7053.727,10402.376,13885.000,19450.000,15852.000,17344.000,15046.000,17810.000,18953.000,14425.000,16959.000,13885.000,19450.000,15729.000
23.750,8095.119,6645.774,9783.595,13172.000,18415.000,15030.000,16436.000,14261.000,16883.000,17955.000,13674.000,16066.000,13172.000,18415.000,14922.000
24.000,7695.829,6322.597,9292.112,12501.000,17445.000,14257.000,15583.000,13523.000,16011.000,17019.000,12969.000,15228.000,12501.000,17445.000,14162.000
24.250,7367.715,6057.724,8888.062,11870.000,16534.000,13530.000,14781.000,12829.000,15192.000,16139.000,12306.000,14440.000,11870.000,16534.000,13448.000
24.500,7083.978,5828.475,8538.167,11276.000,15678.000,12846.000,14028.000,12177.000,14421.000,15312.000,11683.000,13700.000,11276.000,15678.000,12776.000
24.750,6821.568,5616.047,8214.508,10717.000,14874.000,12202.000,13319.000,11564.000,13696.000,14534.000,11096.000,13004.000,10717.000,14874.000,12143.000
25.000,6562.623,5406.726,7895.382,10190.000,14118.000,11596.000,12652.000,10986.000,13014.000,13803.000,10544.000,12350.000,10190.000,14118.000,11546.000
25.250,6292.656,5188.103,7564.318,9693.100,13407.000,11025.000,12023.000,10442.000,12370.000,13114.000,10024.000,11733.000,9693.100,13407.000,10984.000
25.500,6000.994,4950.834,7207.611,9224.600,12738.000,10487.000,11432.000,9929.600,11764.000,12465.000,9533.100,11153.000,9224.600,12738.000,10453.000
25.750,5683.708,4692.034,6820.450,8782.600,12107.000,9979.200,10874.000,9446.400,11193.000,11853.000,9070.500,10606.000,8782.600,12107.000,9952.800
26.000,5358.845,4427.022,6426.031,8365.200,11512.000,9500.100,10347.000,8990.600,10653.000,11277.000,8634.100,10090.000,8365.200,11512.000,9480.200
26.250,5047.511,4172.546,6047.364,7971.000,10952.000,9047.700,9850.700,8560.400,10144.000,10733.000,8222.100,9602.700,7971.000,10952.000,9033.600
26.500,4766.083,3942.375,5706.097,7598.200,10423.000,8620.300,9381.800,8154.200,9663.500,10220.000,7832.900,9143.200,7598.200,10423.000,8611.500
26.750,4524.789,3745.110,5412.819,7245.700,9924.000,8216.400,8938.900,7770.400,9209.200,9734.800,7465.100,8709.300,7245.700,9924.000,8212.100
27.000,4319.536,3577.376,5163.419,6912.100,9452.800,7834.500,8520.300,7407.600,8779.600,9276.600,7117.400,8299.300,6912.100,9452.800,7834.200
27.250,4143.710,3433.757,4949.594,6596.300,9007.600,7473.100,8124.500,7064.500,8373.400,8843.500,6788.600,7911.800,6596.300,9007.600,7476.400
27.500,3991.578,3309.567,4764.431,6297.300,8586.800,7131.200,7750.000,6739.800,7988.900,8433.900,6477.300,7545.300,6297.300,8586.800,7137.600
27.750,3857.961,3200.569,4601.692,6013.900,8188.900,6807.400,7395.600,6432.600,7625.000,8046.400,6182.700,7198.600,6013.900,8188.900,6816.600
28.000,3737.778,3102.562,4455.202,5745.400,7812.500,6500.700,7060.100,6141.600,7280.300,7679.500,5903.600,6870.300,5745.400,7812.500,6512.200
28.250,3626.442,3011.738,4319.618,5490.800,7456.200,6210.000,6742.200,5865.900,6953.700,7332.100,5639.200,6559.500,5490.800,7456.200,6223.700
28.500,3520.244,2925.049,4190.334,5249.200,7118.800,5934.400,6441.000,5604.600,6644.100,7002.900,5388.500,6265.000,5249.200,7118.800,5949.900
28.750,3415.772,2839.717,4063.366,5020.000,6799.100,5673.100,6155.400,5356.900,6350.500,6690.900,5150.800,5985.900,5020.000,6799.100,5690.100
29.000,3309.971,2753.125,3934.945,4802.400,6496.100,5425.100,5884.600,5121.900,6072.000,6395.100,4925.200,5721.300,4802.400,6496.100,5443.500
29.250,3200.035,2662.999,3801.868,4595.700,6208.900,5189.600,5627.600,4898.900,5807.700,6114.400,4711.200,5470.200,4595.700,6208.900,5209.300
29.500,3083.794,2567.510,3661.550,4399.400,5936.400,4966.100,5383.600,4687.200,5556.700,5848.000,4507.900,5231.900,4399.400,5936.400,4986.800
29.750,2959.542,2465.219,3511.883,4212.800,5677.800,4753.700,5151.900,4486.100,5318.300,5595.200,4314.800,5005.700,4212.800,5677.800,4775.300
30.000,2825.802,2354.916,3351.177,4035.400,5432.300,4551.900,4931.800,4295.000,5091.800,5355.000,4131.300,4790.900,4035.400,5432.300,4574.300
